Index;date;Taux
I01403M Index;01/01/2020;-0.67
I01407Y Index;01/01/2020;-0.148
I01408Y Index;01/01/2020;-0.058
I01406M Index;01/01/2020;-0.671
I01409Y Index;01/01/2020;0.042
I01401Y Index;01/01/2020;-0.614
I01402Y Index;01/01/2020;-0.607
I01410Y Index;01/01/2020;0.119
I01403Y Index;01/01/2020;-0.546
I01415Y Index;01/01/2020;0.455
I01420Y Index;01/01/2020;0.721
I01404Y Index;01/01/2020;-0.456
I01405Y Index;01/01/2020;-0.338
I01430Y Index;01/01/2020;0.99
I01406Y Index;01/01/2020;-0.241
I01403M Index;02/01/2020;-0.627
I01407Y Index;02/01/2020;-0.178
I01408Y Index;02/01/2020;-0.095
I01406M Index;02/01/2020;-0.64
I01409Y Index;02/01/2020;0.003
I01401Y Index;02/01/2020;-0.608
I01402Y Index;02/01/2020;-0.589
I01410Y Index;02/01/2020;0.083
I01403Y Index;02/01/2020;-0.552
I01415Y Index;02/01/2020;0.413
I01420Y Index;02/01/2020;0.681
I01404Y Index;02/01/2020;-0.478
I01405Y Index;02/01/2020;-0.363
I01430Y Index;02/01/2020;0.949
I01406Y Index;02/01/2020;-0.269
I01403M Index;03/01/2020;-0.583
I01407Y Index;03/01/2020;-0.224
I01408Y Index;03/01/2020;-0.145
I01406M Index;03/01/2020;-0.622
I01409Y Index;03/01/2020;-0.052
I01401Y Index;03/01/2020;-0.612
I01402Y Index;03/01/2020;-0.609
I01410Y Index;03/01/2020;0.029
I01403Y Index;03/01/2020;-0.579
I01415Y Index;03/01/2020;0.364
I01420Y Index;03/01/2020;0.631
I01404Y Index;03/01/2020;-0.508
I01405Y Index;03/01/2020;-0.4
I01430Y Index;03/01/2020;0.897
I01406Y Index;03/01/2020;-0.311
I01403M Index;06/01/2020;-0.604
I01407Y Index;06/01/2020;-0.227
I01408Y Index;06/01/2020;-0.144
I01406M Index;06/01/2020;-0.617
I01409Y Index;06/01/2020;-0.052
I01401Y Index;06/01/2020;-0.606
I01402Y Index;06/01/2020;-0.61
I01410Y Index;06/01/2020;0.029
I01403Y Index;06/01/2020;-0.571
I01415Y Index;06/01/2020;0.365
I01420Y Index;06/01/2020;0.633
I01404Y Index;06/01/2020;-0.498
I01405Y Index;06/01/2020;-0.391
I01430Y Index;06/01/2020;0.902
I01406Y Index;06/01/2020;-0.307
I01403M Index;07/01/2020;-0.608
I01407Y Index;07/01/2020;-0.223
I01408Y Index;07/01/2020;-0.146
I01406M Index;07/01/2020;-0.619
I01409Y Index;07/01/2020;-0.055
I01401Y Index;07/01/2020;-0.599
I01402Y Index;07/01/2020;-0.606
I01410Y Index;07/01/2020;0.027
I01403Y Index;07/01/2020;-0.57
I01415Y Index;07/01/2020;0.365
I01420Y Index;07/01/2020;0.635
I01404Y Index;07/01/2020;-0.501
I01405Y Index;07/01/2020;-0.396
I01430Y Index;07/01/2020;0.904
I01406Y Index;07/01/2020;-0.306
I01403M Index;08/01/2020;-0.606
I01407Y Index;08/01/2020;-0.205
I01408Y Index;08/01/2020;-0.112
I01406M Index;08/01/2020;-0.613
I01409Y Index;08/01/2020;-0.023
I01401Y Index;08/01/2020;-0.595
I01402Y Index;08/01/2020;-0.591
I01410Y Index;08/01/2020;0.042
I01403Y Index;08/01/2020;-0.551
I01415Y Index;08/01/2020;0.401
I01420Y Index;08/01/2020;0.672
I01404Y Index;08/01/2020;-0.485
I01405Y Index;08/01/2020;-0.382
I01430Y Index;08/01/2020;0.942
I01406Y Index;08/01/2020;-0.291
I01403M Index;09/01/2020;-0.6
I01407Y Index;09/01/2020;-0.178
I01408Y Index;09/01/2020;-0.1
I01406M Index;09/01/2020;-0.614
I01409Y Index;09/01/2020;-0.007
I01401Y Index;09/01/2020;-0.593
I01402Y Index;09/01/2020;-0.581
I01410Y Index;09/01/2020;0.074
I01403Y Index;09/01/2020;-0.535
I01415Y Index;09/01/2020;0.404
I01420Y Index;09/01/2020;0.676
I01404Y Index;09/01/2020;-0.458
I01405Y Index;09/01/2020;-0.35
I01430Y Index;09/01/2020;0.951
I01406Y Index;09/01/2020;-0.259
I01403M Index;10/01/2020;-0.609
I01407Y Index;10/01/2020;-0.194
I01408Y Index;10/01/2020;-0.118
I01406M Index;10/01/2020;-0.613
I01409Y Index;10/01/2020;-0.027
I01401Y Index;10/01/2020;-0.589
I01402Y Index;10/01/2020;-0.579
I01410Y Index;10/01/2020;0.054
I01403Y Index;10/01/2020;-0.539
I01415Y Index;10/01/2020;0.384
I01420Y Index;10/01/2020;0.658
I01404Y Index;10/01/2020;-0.467
I01405Y Index;10/01/2020;-0.363
I01430Y Index;10/01/2020;0.927
I01406Y Index;10/01/2020;-0.276
I01403M Index;13/01/2020;-0.602
I01407Y Index;13/01/2020;-0.158
I01408Y Index;13/01/2020;-0.076
I01406M Index;13/01/2020;-0.602
I01409Y Index;13/01/2020;0.018
I01401Y Index;13/01/2020;-0.587
I01402Y Index;13/01/2020;-0.568
I01410Y Index;13/01/2020;0.1
I01403Y Index;13/01/2020;-0.523
I01415Y Index;13/01/2020;0.44
I01420Y Index;13/01/2020;0.718
I01404Y Index;13/01/2020;-0.442
I01405Y Index;13/01/2020;-0.33
I01430Y Index;13/01/2020;0.993
I01406Y Index;13/01/2020;-0.244
I01403M Index;14/01/2020;-0.591
I01407Y Index;14/01/2020;-0.161
I01408Y Index;14/01/2020;-0.082
I01406M Index;14/01/2020;-0.595
I01409Y Index;14/01/2020;0.01
I01401Y Index;14/01/2020;-0.586
I01402Y Index;14/01/2020;-0.565
I01410Y Index;14/01/2020;0.093
I01403Y Index;14/01/2020;-0.519
I01415Y Index;14/01/2020;0.424
I01420Y Index;14/01/2020;0.7
I01404Y Index;14/01/2020;-0.44
I01405Y Index;14/01/2020;-0.333
I01430Y Index;14/01/2020;0.972
I01406Y Index;14/01/2020;-0.244
I01403M Index;15/01/2020;-0.59
I01407Y Index;15/01/2020;-0.188
I01408Y Index;15/01/2020;-0.112
I01406M Index;15/01/2020;-0.594
I01409Y Index;15/01/2020;-0.022
I01401Y Index;15/01/2020;-0.585
I01402Y Index;15/01/2020;-0.571
I01410Y Index;15/01/2020;0.062
I01403Y Index;15/01/2020;-0.531
I01415Y Index;15/01/2020;0.392
I01420Y Index;15/01/2020;0.666
I01404Y Index;15/01/2020;-0.454
I01405Y Index;15/01/2020;-0.348
I01430Y Index;15/01/2020;0.936
I01406Y Index;15/01/2020;-0.268
I01403M Index;16/01/2020;-0.591
I01407Y Index;16/01/2020;-0.199
I01408Y Index;16/01/2020;-0.121
I01406M Index;16/01/2020;-0.597
I01409Y Index;16/01/2020;-0.03
I01401Y Index;16/01/2020;-0.585
I01402Y Index;16/01/2020;-0.568
I01410Y Index;16/01/2020;0.054
I01403Y Index;16/01/2020;-0.528
I01415Y Index;16/01/2020;0.385
I01420Y Index;16/01/2020;0.661
I01404Y Index;16/01/2020;-0.459
I01405Y Index;16/01/2020;-0.358
I01430Y Index;16/01/2020;0.934
I01406Y Index;16/01/2020;-0.277
I01403M Index;17/01/2020;-0.59
I01407Y Index;17/01/2020;-0.196
I01408Y Index;17/01/2020;-0.12
I01406M Index;17/01/2020;-0.598
I01409Y Index;17/01/2020;-0.029
I01401Y Index;17/01/2020;-0.583
I01402Y Index;17/01/2020;-0.567
I01410Y Index;17/01/2020;0.055
I01403Y Index;17/01/2020;-0.524
I01415Y Index;17/01/2020;0.387
I01420Y Index;17/01/2020;0.664
I01404Y Index;17/01/2020;-0.455
I01405Y Index;17/01/2020;-0.353
I01430Y Index;17/01/2020;0.937
I01406Y Index;17/01/2020;-0.273
I01403M Index;20/01/2020;-0.576
I01407Y Index;20/01/2020;-0.195
I01408Y Index;20/01/2020;-0.123
I01406M Index;20/01/2020;-0.586
I01409Y Index;20/01/2020;-0.033
I01401Y Index;20/01/2020;-0.578
I01402Y Index;20/01/2020;-0.561
I01410Y Index;20/01/2020;0.051
I01403Y Index;20/01/2020;-0.52
I01415Y Index;20/01/2020;0.381
I01420Y Index;20/01/2020;0.656
I01404Y Index;20/01/2020;-0.449
I01405Y Index;20/01/2020;-0.348
I01430Y Index;20/01/2020;0.929
I01406Y Index;20/01/2020;-0.271
I01403M Index;21/01/2020;-0.574
I01407Y Index;21/01/2020;-0.221
I01408Y Index;21/01/2020;-0.151
I01406M Index;21/01/2020;-0.583
I01409Y Index;21/01/2020;-0.064
I01401Y Index;21/01/2020;-0.569
I01402Y Index;21/01/2020;-0.551
I01410Y Index;21/01/2020;0.019
I01403Y Index;21/01/2020;-0.521
I01415Y Index;21/01/2020;0.345
I01420Y Index;21/01/2020;0.617
I01404Y Index;21/01/2020;-0.463
I01405Y Index;21/01/2020;-0.37
I01430Y Index;21/01/2020;0.888
I01406Y Index;21/01/2020;-0.293
I01403M Index;22/01/2020;-0.579
I01407Y Index;22/01/2020;-0.231
I01408Y Index;22/01/2020;-0.159
I01406M Index;22/01/2020;-0.58
I01409Y Index;22/01/2020;-0.076
I01401Y Index;22/01/2020;-0.57
I01402Y Index;22/01/2020;-0.555
I01410Y Index;22/01/2020;0.005
I01403Y Index;22/01/2020;-0.529
I01415Y Index;22/01/2020;0.333
I01420Y Index;22/01/2020;0.606
I01404Y Index;22/01/2020;-0.471
I01405Y Index;22/01/2020;-0.377
I01430Y Index;22/01/2020;0.877
I01406Y Index;22/01/2020;-0.302
I01403M Index;23/01/2020;-0.575
I01407Y Index;23/01/2020;-0.276
I01408Y Index;23/01/2020;-0.211
I01406M Index;23/01/2020;-0.581
I01409Y Index;23/01/2020;-0.13
I01401Y Index;23/01/2020;-0.575
I01402Y Index;23/01/2020;-0.569
I01410Y Index;23/01/2020;-0.047
I01403Y Index;23/01/2020;-0.552
I01415Y Index;23/01/2020;0.28
I01420Y Index;23/01/2020;0.552
I01404Y Index;23/01/2020;-0.499
I01405Y Index;23/01/2020;-0.415
I01430Y Index;23/01/2020;0.823
I01406Y Index;23/01/2020;-0.344
